"H0022200","R0000100","R0007900","R0173600","R0214700","R0214800","R1774200","T4892700","T5176100","T5595900","T5596000","T5596200","T5596700","T5599700","T5599800","T5599900","T5600000","T5619500","T5621700","T5731800","T5732000","T5772700","T5772900","T5774300"
-4,1,8,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,2,8,5,3,2,7,151,-4,5,1,-2,2,3,2,3,0,23000,-4,0,0,1820,0,4
3,3,12,5,3,2,2,160,-4,5,10,2,2,1,1,1,0,29000,-4,0,1,1730,0,18
4,4,12,5,3,2,2,-5,-4,5,7,1,2,3,1,1,0,73000,600,0,1,1152,28,16
-4,5,12,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,6,12,1,3,1,4,195,-4,5,5,2,3,3,2,4,0,115000,-4,0,0,2080,0,12
-4,7,12,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,8,6,6,3,2,7,192,-4,5,3,2,2,1,1,1,0,47000,-4,0,1,2080,0,14
1,9,10,1,3,1,7,190,-4,5,7,1,4,3,3,5,0,90000,-4,0,0,2860,0,5
-4,10,12,6,3,2,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,11,12,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,12,12,5,3,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,13,16,1,3,1,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,14,12,5,3,2,2,195,-4,5,7,2,2,4,1,1,0,70000,-4,0,0,1560,-3,26
4,15,12,1,3,1,2,240,-4,6,2,2,2,4,3,3,1,0,-4,0,0,0,0,9
4,16,12,5,3,2,4,170,-4,5,4,2,2,4,3,2,0,100000,-4,0,1,100,-3,15
2,17,15,1,3,1,7,172,-4,5,9,2,1,3,5,5,2,73000,-4,1,1,1976,0,14
1,18,16,1,3,1,6,190,-4,5,9,2,2,3,1,1,1,120000,-4,0,0,1820,0,4
5,19,12,5,3,2,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,20,18,5,3,2,4,142,-4,5,4,2,2,3,1,3,0,127000,-4,0,0,2100,0,12
2,21,18,5,3,2,4,163,-4,5,2,2,2,4,1,1,0,130000,-4,1,0,1090,0,27
2,22,12,5,3,2,4,152,-4,5,4,2,2,1,3,3,3,42200,-4,0,0,2295,0,30
-4,23,12,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,24,12,1,3,1,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-2,25,16,5,3,2,6,145,-4,5,6,2,2,3,2,4,1,50000,-4,0,0,1664,0,3
2,26,17,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,27,20,5,3,2,2,170,-4,5,2,2,2,1,1,2,1,170166,-4,1,0,1053,0,16
-4,28,20,5,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,29,4,5,3,2,2,165,-4,5,8,-4,2,1,1,2,0,0,-4,1,0,0,0,6
-2,30,6,5,3,2,6,180,-4,5,5,2,2,4,1,1,0,0,-4,0,0,0,0,4
2,31,3,4,1,1,4,198,-4,5,9,2,2,3,1,1,1,40000,-4,0,1,2299,0,14
2,32,12,8,1,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,33,15,4,1,1,-5,220,-4,5,7,2,2,2,3,3,0,0,-4,1,0,0,52,3
2,34,12,1,3,1,2,216,-4,5,9,1,1,1,4,5,1,0,-4,0,0,0,0,23
-4,35,12,5,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,36,12,1,3,1,6,165,-4,5,10,2,1,4,5,5,0,0,65000,0,1,2100,0,17
5,37,12,5,3,2,4,178,-4,5,6,2,2,1,1,5,0,50000,-4,0,0,1820,0,4
1,38,12,5,3,2,7,165,-4,5,3,1,1,1,4,5,0,130000,-4,0,1,2080,0,9
3,39,12,1,3,1,7,195,-4,6,0,2,1,4,1,1,2,63000,-4,0,0,2600,0,16
1,40,12,2,3,1,4,160,-4,5,6,2,1,3,1,1,0,37600,-4,0,0,2080,0,19
1,41,12,2,3,1,4,221,-4,6,2,2,2,3,2,2,0,170000,-4,0,0,2602,0,12
1,42,12,1,3,1,6,280,-4,6,0,1,1,3,3,3,1,62000,-4,0,0,2080,0,9
4,43,9,6,3,2,2,224,-4,5,5,1,2,1,5,5,0,0,-4,1,0,0,0,19
1,44,12,5,3,2,4,112,-4,5,4,1,1,3,1,1,0,43680,-4,0,0,2082,0,8
-4,45,10,1,3,1,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,46,12,5,3,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,47,16,1,3,1,4,224,-4,6,1,2,2,1,1,1,1,100000,-4,0,0,2850,0,11
-4,48,12,2,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,49,12,5,3,2,7,218,-4,5,9,2,2,4,3,5,3,32880,-4,0,0,1040,0,14
5,50,10,5,3,2,2,250,-4,5,5,2,2,1,2,2,1,67000,-4,0,1,1820,0,8
-4,51,12,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,52,14,1,3,1,4,235,-4,6,0,2,-4,3,5,5,1,332954,-4,0,1,3120,0,4
4,53,4,4,1,1,4,201,-4,5,8,4,4,1,5,5,0,0,-4,0,0,0,0,24
5,54,5,1,3,1,2,250,-4,6,0,1,-4,3,5,5,1,42000,-4,0,1,1924,0,11
-4,55,12,1,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,56,12,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,57,12,5,3,2,4,138,-4,5,6,2,2,3,2,2,2,52000,-4,1,0,2170,0,30
3,58,17,5,3,2,2,125,-4,5,2,1,1,4,1,1,0,119840,-4,0,0,2354,0,10
-2,59,-2,1,3,1,2,240,-4,5,9,-4,-4,4,5,5,4,45000,-4,0,0,2080,0,8
3,60,16,1,3,1,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,61,16,5,3,2,6,185,-4,5,6,2,2,1,1,1,0,0,-4,0,0,0,0,14
3,62,16,5,3,2,6,223,-4,5,10,5,5,1,2,5,1,65000,-4,1,1,2444,0,16
1,63,12,1,3,1,4,185,-4,5,11,2,2,3,3,3,0,155000,-4,0,0,2495,0,9
-4,64,12,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,65,12,5,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,66,17,1,3,1,4,225,-4,5,8,2,3,3,3,3,2,-1,-4,0,0,0,0,17
5,67,18,1,3,1,-5,210,-4,6,2,2,1,1,3,4,1,130000,-4,0,0,2600,0,12
1,68,17,5,3,2,2,140,-4,5,9,2,2,3,1,2,0,20000,-4,0,0,0,0,14
1,69,16,1,3,1,-3,205,-4,6,2,2,2,3,2,2,0,125000,-4,0,0,2276,0,6
2,70,16,1,3,1,6,225,-4,5,10,1,1,3,1,1,0,40000,-4,0,0,-3,0,23
-1,71,16,1,3,1,2,-1,-4,5,10,2,-4,-1,-1,-1,-1,-1,-4,0,0,2430,0,18
2,72,16,5,3,2,6,150,-4,5,6,-4,-4,3,3,3,0,42000,-4,0,0,1978,0,22
1,73,16,1,3,1,3,230,-4,5,10,2,2,1,1,2,0,332954,-4,0,0,3120,0,16
-4,74,16,5,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,75,16,5,3,2,4,108,-4,5,4,2,2,3,1,1,0,150000,-4,0,0,2890,0,19
1,76,16,1,3,1,4,205,-4,6,1,2,2,4,4,5,2,110000,110000,0,0,3120,0,12
1,77,16,5,3,2,4,138,-4,5,3,2,1,1,3,3,0,150000,-4,0,0,3080,0,10
-4,78,18,5,3,2,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,79,18,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,80,20,1,3,1,4,146,-4,5,8,1,1,4,-2,-2,0,24000,-4,0,0,1927,0,19
2,81,20,1,3,1,9,206,-4,6,0,2,1,4,1,1,0,25000,-4,0,0,1120,24,30
4,82,-2,3,2,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,83,-2,3,2,1,5,200,-4,6,0,1,1,1,5,5,0,0,-4,0,0,0,0,12
5,84,12,3,2,1,4,226,-4,5,10,4,4,3,5,5,1,0,-4,0,0,0,18,9
5,85,11,3,2,1,4,155,-4,5,6,2,3,3,3,1,0,0,-4,0,0,0,0,11
1,86,9,7,2,2,4,165,-4,4,11,4,1,1,2,1,0,24000,-4,1,0,2080,0,6
3,87,12,3,2,1,4,193,-4,5,8,1,1,3,3,2,0,15000,-4,1,0,1560,0,18
1,88,12,3,2,1,4,197,-4,6,0,1,1,3,4,4,4,35000,-4,0,0,2080,0,12
5,89,12,7,2,2,4,-5,-4,5,7,4,2,1,1,3,0,72000,-4,0,0,2080,0,11
1,90,4,1,3,1,9,160,-4,5,11,1,2,3,3,2,0,146000,-4,0,0,2080,0,13
1,91,3,5,3,2,4,150,-4,5,7,1,1,3,1,1,0,40000,-4,0,0,1552,0,17
4,92,12,5,3,2,2,216,-4,4,11,3,2,4,4,4,2,42000,-4,0,0,1560,0,7
1,93,-2,1,3,1,6,180,-4,5,10,2,2,1,2,3,1,62000,-4,0,1,2080,0,13
5,94,10,1,3,1,4,155,-4,5,8,1,1,4,1,1,1,0,-4,0,0,2188,0,6
5,95,-2,5,3,2,3,140,-4,5,5,3,2,4,1,1,0,32000,-4,0,0,2080,0,14
5,96,-2,6,3,2,4,160,-4,5,3,2,1,1,3,1,0,57000,-4,1,0,2288,0,18
2,97,11,5,3,2,7,183,-4,5,7,2,2,4,4,3,3,30000,-4,0,0,2080,0,11
5,98,14,6,3,2,2,163,-4,5,4,1,1,1,5,5,0,0,-4,0,0,0,0,8
4,99,16,5,3,2,4,195,-4,5,5,2,1,1,3,3,0,40000,-4,1,0,1976,0,10
5,100,-2,5,3,2,6,130,-4,5,4,-4,-4,3,2,5,0,104000,-4,1,0,2080,0,12
1,101,6,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,102,5,5,3,2,7,138,-4,5,1,1,1,1,1,3,0,-1,-4,0,0,2080,0,3
-2,103,-3,1,3,1,2,250,-4,5,11,2,2,4,2,2,2,90000,-4,1,1,2122,0,17
-4,104,-2,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,105,12,6,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
